iter	Passed	Remaining
0	3	3182
1	6	3324
2	9	3295
3	13	3320
4	16	3250
5	19	3199
6	22	3172
7	25	3203
8	28	3178
9	32	3211
10	35	3204
11	38	3188
12	41	3187
13	45	3174
14	48	3185
15	51	3170
16	54	3165
17	58	3168
18	61	3154
19	64	3145
20	67	3131
21	70	3125
22	73	3131
23	76	3121
24	80	3142
25	83	3131
26	86	3124
27	90	3129
28	93	3120
29	96	3113
30	99	3109
31	102	3100
32	106	3111
33	109	3100
34	112	3094
35	115	3088
36	118	3079
37	121	3082
38	124	3076
39	128	3084
40	131	3080
41	134	3074
42	138	3082
43	141	3077
44	144	3072
45	147	3064
46	150	3059
47	154	3061
48	157	3056
49	160	3050
50	163	3043
51	166	3039
52	170	3037
53	173	3032
54	176	3033
55	179	3027
56	182	3022
57	186	3028
58	189	3026
59	192	3021
60	196	3017
61	199	3013
62	202	3012
63	205	3009
64	209	3009
65	212	3003
66	215	3002
67	218	2998
68	221	2991
69	224	2986
70	227	2979
71	231	2979
72	234	2974
73	237	2969
74	240	2967
75	243	2964
76	247	2966
77	250	2960
78	254	2961
79	257	2955
80	260	2950
81	263	2951
82	266	2948
83	270	2946
84	273	2943
85	276	2939
86	279	2936
87	283	2934
88	286	2931
89	289	2929
90	292	2925
91	296	2924
92	299	2919
93	302	2916
94	305	2913
95	308	2908
96	312	2906
97	315	2903
98	319	2905
99	322	2904
100	325	2901
101	329	2899
102	332	2894
103	335	2892
104	338	2886
105	341	2882
106	345	2880
107	348	2877
108	351	2874
109	354	2870
110	358	2873
111	361	2868
112	365	2866
113	368	2862
114	371	2857
115	374	2857
116	377	2852
117	381	2848
118	384	2844
119	387	2840
120	390	2839
121	393	2834
122	397	2836
123	400	2832
124	404	2829
125	407	2826
126	410	2822
127	414	2822
128	417	2820
129	421	2817
130	424	2814
131	427	2809
132	430	2806
133	433	2802
134	436	2799
135	440	2795
136	443	2790
137	446	2787
138	449	2783
139	452	2780
140	455	2776
141	458	2772
142	462	2769
143	465	2765
144	468	2761
145	471	2757
146	474	2754
147	478	2752
148	481	2748
149	484	2745
150	487	2741
151	490	2736
152	493	2733
153	496	2729
154	500	2727
155	503	2724
156	506	2721
157	510	2718
158	513	2713
159	516	2713
160	520	2710
161	523	2708
162	526	2705
163	530	2702
164	533	2700
165	536	2697
166	540	2695
167	543	2692
168	546	2688
169	550	2686
170	553	2683
171	557	2683
172	560	2679
173	564	2677
174	567	2673
175	570	2671
176	573	2667
177	576	2663
178	580	2663
179	583	2660
180	587	2657
181	590	2653
182	593	2650
183	597	2649
184	600	2645
185	604	2643
186	607	2639
187	610	2635
188	613	2634
189	616	2629
190	620	2626
191	623	2622
192	626	2620
193	629	2616
194	632	2612
195	636	2610
196	639	2606
197	642	2603
198	645	2599
199	648	2595
200	652	2593
201	655	2590
202	658	2586
203	662	2583
204	665	2579
205	668	2577
206	671	2573
207	675	2570
208	678	2568
209	682	2566
210	685	2564
211	689	2561
212	693	2561
213	696	2557
214	699	2554
215	702	2550
216	705	2547
217	709	2543
218	712	2540
219	715	2537
220	718	2532
221	721	2529
222	724	2526
223	728	2522
224	731	2519
225	734	2515
226	738	2515
227	741	2511
228	745	2508
229	748	2504
230	751	2500
231	754	2497
232	757	2494
233	761	2494
234	765	2491
235	768	2489
236	772	2486
237	775	2482
238	779	2480
239	782	2476
240	785	2474
241	789	2471
242	792	2468
243	796	2466
244	799	2463
245	804	2465
246	808	2465
247	811	2461
248	815	2458
249	818	2454
250	821	2449
251	824	2447
252	827	2443
253	831	2440
254	834	2437
255	837	2433
256	840	2430
257	843	2427
258	847	2423
259	850	2420
260	853	2416
261	856	2413
262	859	2409
263	863	2406
264	866	2402
265	869	2400
266	872	2396
267	876	2392
268	879	2389
269	882	2385
270	885	2382
271	888	2378
272	891	2374
273	895	2372
274	898	2368
275	901	2364
276	904	2362
277	908	2358
278	911	2356
279	914	2352
280	918	2349
281	921	2346
282	924	2343
283	930	2344
284	933	2342
285	937	2340
286	941	2338
287	944	2336
