"participant"	"groups"	"attitude"	"drink"	"imagery"
"P1"	"beerpos"	1	"Beer"	"Positive"
"P2"	"beerpos"	43	"Beer"	"Positive"
"P3"	"beerpos"	15	"Beer"	"Positive"
"P4"	"beerpos"	40	"Beer"	"Positive"
"P5"	"beerpos"	8	"Beer"	"Positive"
"P6"	"beerpos"	17	"Beer"	"Positive"
"P7"	"beerpos"	30	"Beer"	"Positive"
"P8"	"beerpos"	34	"Beer"	"Positive"
"P9"	"beerpos"	34	"Beer"	"Positive"
"P10"	"beerpos"	26	"Beer"	"Positive"
"P11"	"beerpos"	1	"Beer"	"Positive"
"P12"	"beerpos"	7	"Beer"	"Positive"
"P13"	"beerpos"	22	"Beer"	"Positive"
"P14"	"beerpos"	30	"Beer"	"Positive"
"P15"	"beerpos"	40	"Beer"	"Positive"
"P16"	"beerpos"	15	"Beer"	"Positive"
"P17"	"beerpos"	20	"Beer"	"Positive"
"P18"	"beerpos"	9	"Beer"	"Positive"
"P19"	"beerpos"	14	"Beer"	"Positive"
"P20"	"beerpos"	15	"Beer"	"Positive"
"P1"	"beerneg"	6	"Beer"	"Negative"
"P2"	"beerneg"	30	"Beer"	"Negative"
"P3"	"beerneg"	15	"Beer"	"Negative"
"P4"	"beerneg"	30	"Beer"	"Negative"
"P5"	"beerneg"	12	"Beer"	"Negative"
"P6"	"beerneg"	17	"Beer"	"Negative"
"P7"	"beerneg"	21	"Beer"	"Negative"
"P8"	"beerneg"	23	"Beer"	"Negative"
"P9"	"beerneg"	20	"Beer"	"Negative"
"P10"	"beerneg"	27	"Beer"	"Negative"
"P11"	"beerneg"	-19	"Beer"	"Negative"
"P12"	"beerneg"	-18	"Beer"	"Negative"
"P13"	"beerneg"	-8	"Beer"	"Negative"
"P14"	"beerneg"	-6	"Beer"	"Negative"
"P15"	"beerneg"	-6	"Beer"	"Negative"
"P16"	"beerneg"	-9	"Beer"	"Negative"
"P17"	"beerneg"	-17	"Beer"	"Negative"
"P18"	"beerneg"	-12	"Beer"	"Negative"
"P19"	"beerneg"	-11	"Beer"	"Negative"
"P20"	"beerneg"	-6	"Beer"	"Negative"
